name,cost,brand,color
"HP - Victus 15.6"" Full HD 144Hz Gaming Laptop - Intel Core i5-13420H - 8GB Memory - NVIDIA GeForce RTX 3050 - 512GB SSD - Performance Blue",NaN,HP,Performance Blue
Skytech Gaming - SHIVA Gaming Desktop - Intel Core i7-11700F - 16GB Memory - NVIDIA GeForce RTX 3060 12GB - 1TB SSD - 240mm AIO - White,NaN,,White
"ASUS - TUF Gaming A16 16"" 165Hz Gaming Laptop FHD-AMD Ryzen 7 7735HS with 16GB DDR5 Memory- Radeon RX7600S 512GB PCIe SSD - OFF BLACK",NaN,,OFF BLACK
"Lenovo - Legion Pro 5i 16"" Gaming Laptop WQXGA Intel 13th Gen Core i7 with 16GB Memory - NVIDIA GeForce RTX 4070 8GB - 1TB SSD - Onyx Grey",NaN,,Onyx Grey
Sony - PlayStation 4 1TB Console - Black,NaN,PlayStation,Black
"MSI - Bravo 15 15.6"" 144hz Gaming Laptop FHD - Ryzen 7-7735HS with 16GB RAM - Radeon RX6550M with 4G GDDR6 - 512GB NVMe SSD - Black",NaN,,Black
Nintendo - Switch OLED Console - The Legend of Zelda: Tears of the Kingdom Edition - Green,NaN,Nintendo,Green
CyberPowerPC - Gamer Xtreme Gaming Desktop - Intel Core i7-13700F - 16GB Memory - NVIDIA GeForce RTX 3060 Ti - 1TB SSD - Black,NaN,,Black
CORSAIR - VENGEANCE i7400 Gaming Desktop - Intel Core i5-13600KF - 32GB DDR5 5600 MHz Memory - NVIDIA GeForce RTX 3070 - 1TB SSD - Black,NaN,,Black
"Lenovo - Legion Slim 7i 16"" Gaming Laptop WQXGA- Intel Core i9-13900H with 16GB Memory - NVIDIA GeForce RTX 4070 8GB - 1TB SSD - Storm Grey",NaN,,Storm Grey
"ASUS - Vivobook 16"" Laptop - AMD Ryzen 7 5800HS with 12GB Memory - 512GB SSD - Quiet Blue - Quiet Blue",NaN,,Quiet Blue
"MSI - Bravo 15 15.6"" 144hz Gaming Laptop FHD - Ryzen 5-7535HS with 16GB RAM - GeForce RTX 4050 with 6G GDDR6 - 512GB NVMe SSD - Black",NaN,,Black
"ASUS - ROG Zephyrus M16 16"" 240Hz Gaming Laptop QHD - Intel 13th Gen Core i9 with 16GB Memory-NVIDIA GeForce RTX 4070-1TB SSD - Off Black",NaN,,Off Black
"MSI - Cyborg 15.6"" 144hz Gaming Laptop - Intel Core i5 - NVIDIA GeForce RTX 4050 with 8GB RAM and 512GB SSD - Black",NaN,MSI,Black
"MSI - Crosshair 16"" 144hz Gaming Laptop - Intel 13TH Gen Core i7 with 16GB Memory - NVIDIA GeForce RTX 4070 - 1TB SSD - Black",NaN,MSI,Black
"Lenovo - Legion Slim 5 16"" Gaming Laptop WUXGA - Ryzen 5 7640HS with 16GB Memory - NVIDIA GeForce RTX 4060 8GB - 512GB SSD - Storm Grey",NaN,,Storm Grey
iBUYPOWER - TraceMesh Gaming Desktop - Intel Core i5-13400F - 16GB Memory - NVIDIA GeForce RTX 3060 8GB - 500GB NVMe - Black,NaN,,Black
"HP OMEN - 16.1"" 144Hz Full HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 4050 - 1TB SSD - Shadow Black",NaN,,Shadow Black
CyberPowerPC - Gamer Master Gaming Desktop - AMD Ryzen 5 7600 - 16GB Memory - NVIDIA GeForce RTX 4060 8GB - 2TB SSD - White,NaN,,White
"HP - Victus 15.6"" Gaming Laptop - AMD Ryzen 5 7535HS - 8GB Memory - NVIDIA GeForce RTX 2050 - 512GB SSD - Mica Silver",NaN,HP,Mica Silver
"Acer - Predator Helios Neo 16"" WUXGA 165Hz IPS Gaming Laptop - Intel i5-13500HX - GeForce RTX 4050 with 16GB DDR5- 512GB SSD - Steel Gray",NaN,Acer,Steel Gray
Sony - PlayStation 5 Console Marvel’s Spider-Man 2 Bundle - White,NaN,PlayStation,White
Sony - PlayStation 5 Console Marvel’s Spider-Man 2 Bundle - White With Accessories,NaN,,White
Nintendo - Switch Mario Kart 8 Deluxe Bundle - Multi,NaN,Nintendo,White
"ASUS - TUF 15.6"" Gaming Laptop 144hz FHD - Intel Core i7 with 16GB Memory - NVIDIA GeForce RTX 4060 - 512GB SSD - Mecha Grey",NaN,,Mecha Grey
Nintendo - Switch Mario Kart 8 Deluxe Bundle - Multi With Accessories,NaN,,White
PlayStation 5 Slim - 1TB Disc Spider-Man 2 + PS5 DS Camo Controller BUNDLE,NaN,,White
Sony - PlayStation 5 Console SLIM - Marvel's Spider-Man 2 Bundle (Full Game Download Included) - White,NaN,,White
Nintendo - Switch OLED White + Animal Crossing BUNDLE,NaN,,White
Nintendo - Switch OLED White + Donkey Kong Country Tropical Freeze BUNDLE,NaN,,White
Nintendo - Switch OLED White + Luigi's Mansion 3 BUNDLE,NaN,,White
Nintendo - Switch OLED White + Mario Kart 8 BUNDLE,NaN,,White
Nintendo - Switch OLED White + Mario Party Superstars BUNDLE,NaN,,White
